[2025-10-22T04:46:04.838Z] [INFO] === Starting Chiang Mai WebSocket Client ===
[2025-10-22T04:46:04.839Z] [INFO] [เชียงใหม่] Initializing database connection...
[2025-10-22T04:51:15.798Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14333.6,"8685":0,"8686":null,"8687":6047.900000000001,"8688":null,"8689":null,"18069":1334901.8,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:51:18.825Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14294.400000000001,"8685":0,"8686":null,"8687":6047.6,"8688":null,"8689":null,"18069":1334901.8,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:51:21.831Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14338,"8685":0,"8686":null,"8687":6047.6,"8688":null,"8689":null,"18069":1334901.9000000001,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:51:24.842Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14338,"8685":0,"8686":null,"8687":6037.400000000001,"8688":null,"8689":null,"18069":1334901.9000000001,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:51:27.916Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14315.2,"8685":0,"8686":null,"8687":6027.400000000001,"8688":null,"8689":null,"18069":1334901.9000000001,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:51:30.871Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14335.300000000001,"8685":0,"8686":null,"8687":6027.400000000001,"8688":null,"8689":null,"18069":1334901.9000000001,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:51:33.911Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14335.300000000001,"8685":0,"8686":null,"8687":6011.200000000001,"8688":null,"8689":null,"18069":1334901.9000000001,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:51:36.926Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14326.7,"8685":0,"8686":null,"8687":6021.900000000001,"8688":null,"8689":null,"18069":1334901.9000000001,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:51:40.158Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14299.400000000001,"8685":0,"8686":null,"8687":6021.900000000001,"8688":null,"8689":null,"18069":1334901.9000000001,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:51:42.970Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14366.5,"8685":0,"8686":null,"8687":6031.8,"8688":null,"8689":null,"18069":1334901.9000000001,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:51:45.987Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14366.5,"8685":0,"8686":null,"8687":6020.8,"8688":null,"8689":null,"18069":1334901.9000000001,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:51:49.012Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14327.1,"8685":0,"8686":null,"8687":6033,"8688":null,"8689":null,"18069":1334902,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:51:52.048Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14338.7,"8685":0,"8686":null,"8687":6033,"8688":null,"8689":null,"18069":1334902,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:51:55.063Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14338.7,"8685":0,"8686":null,"8687":6031.8,"8688":null,"8689":null,"18069":1334902,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:51:58.098Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14354.300000000001,"8685":0,"8686":null,"8687":6033.400000000001,"8688":null,"8689":null,"18069":1334902,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:52:01.114Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14371.6,"8685":0,"8686":null,"8687":6033.400000000001,"8688":null,"8689":null,"18069":1334902,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
[2025-10-22T04:52:04.161Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14347.6,"8685":0,"8686":null,"8687":6029.6,"8688":null,"8689":null,"18069":1334902,"18070":3498.3,"73909":null,"73910":559384.1,"75428":null,"75429":null}
